id,author,comment,clean_text,star_rating
46,年古拉斯,nice，尝试了下停不下来呀,nice，尝试了下停不下来呀,5
47,昭祭酱鸭鸭,生物知识又增加了！,生物知识又增加了！,5
48,团子小超人,和血小板贴贴,和血小板贴贴,5
50,UniversePlayer,超多生物知识,超多生物知识,5
51,嘴炮腐竹,看完我生物变好了（doge）,看完我生物变好了doge,5
52,Tbao君,太棒了，没想到居然有这样题材的番剧,太棒了，没想到居然有这样题材的番剧,5
55,Cheney大少爷,很适合教学，制作画面什么的也是很棒,很适合教学，制作画面什么的也是很棒,5
56,啥也不会真不错,将体内的细胞拟人化，题材新颖，吸人眼球，我不装了，就是好看qwq,将体内的细胞拟人化，题材新颖，吸人眼球，我不装了，就是好看qwq,5
57,一只不知道什么鬼,哈哈哈哈哈哈哈哈哈哈哈哈哈太好笑了,哈哈哈哈哈哈哈哈哈哈哈哈哈太好笑了,5
58,山城瞪眼的奶糖,很有科普性又浅显易懂 很奈斯,很有科普性又浅显易懂 很奈斯,5
59,夜未星空,非常好，而且剧情很新颖吸引我,非常好，而且剧情很新颖吸引我,5
60,很胖的绵羊,这个创意也太牛了！复杂的人体免疫系统以这样的形式变得清晰易懂，人设可爱到爆，所谓寓教于乐的话，这真是做到极致、做出花了！,这个创意也太牛了！复杂的人体免疫系统以这样的形式变得清晰易懂，人设可爱到爆，所谓寓教于乐的话，这真是做到极致、做出花了！,5
61,kora灵蝶,感谢给我上生物课,感谢给我上生物课,5
62,深谷幽兰-,工作细胞赛高,工作细胞赛高,5
63,阿库娅nano,血小板太可爱了,血小板太可爱了,5
64,乱巷野猫mao,寓教于乐，爱护身体,寓教于乐，爱护身体,5
68,叛离的晚霞,\^O^/,\O/,5
69,夏姬芭糕,非常不错的全年龄科普作品,非常不错的全年龄科普作品,5
70,神鴉社鼓,很好的科普番,很好的科普番,5
71,zzzzzzyxj,补，军训时偷偷摸摸追的，题材新颖,补，军训时偷偷摸摸追的，题材新颖,5
72,菲菲呀菲菲呀,才9.6吗，这不科学,才9.6吗，这不科学,5
73,复制你的存在,(ง •_•)ง关爱健康，人人有责,ง •_•ง关爱健康，人人有责,5
74,池西瓜QAQ,好看就完事了,好看就完事了,5
75,战神123联盟,中学生快乐生物,中学生快乐生物,5
76,朝垂青羽,⸜₍๑•⌔•๑ ₎⸝,⸜₍๑•⌔•๑ ₎⸝,5
77,up主没穿底裤,这是我第一个能学到知识的番 大大的赞,这是我第一个能学到知识的番 大大的赞,5
80,-浪里小白狼-,超级棒！希望红血球和白血球的故事一直继续下去！,超级棒！希望红血球和白血球的故事一直继续下去！,5
81,能喝六个薛之谦,很有意义的动漫0 0,很有意义的动漫0 0,5
82,斯里拿耳,好看，还能科普，关键是能看懂（感动天地）,好看，还能科普，关键是能看懂感动天地,5
83,あすかのKevin,满分满分满分！！！！科普片能做得这么好真的不简单,满分满分满分！！！！科普片能做得这么好真的不简单,5
85,我永远爱美琴,寓教于乐，适合和家人一起看的番（滑稽）,寓教于乐，适合和家人一起看的番滑稽,5
87,许无欢_,除了血小板真可爱以外没什么记忆点,除了血小板真可爱以外没什么记忆点,5
88,浪总0924,家喻户晓的动画之一，能在央视播放足以见其影响力之大。动画制作精美，科学严谨与幽默风趣相结合，必追番。评分：【剧情】95 ；【动画】97 ；【人设】97 ；【情感】93 ；【总评】96,家喻户晓的动画之一，能在央视播放足以见其影响力之大。动画制作精美，科学严谨与幽默风趣相结合，必追番。评分：剧情95 ；动画97 ；人设97 ；情感93 ；总评96,5
89,在FGO中成为欧皇,五星不解释,五星不解释,5
90,-钉钉Dingduck,啊啊啊啊好可爱！！,啊啊啊啊好可爱！！,5
91,叶桐心,呜呜呜~科普番，i了i了,呜呜呜科普番，i了i了,5
92,77959264756_bili,绝对有人拉分了，之前还是9.9的呢，这种教育类的还恶意刷分,绝对有人拉分了，之前还是9.9的呢，这种教育类的还恶意刷分,5
93,hunhunhanluyi,平时不咋看动漫，但是感觉这个画风好，不浮夸不繁复。而且真的可以让人放松地笑一笑,平时不咋看动漫，但是感觉这个画风好，不浮夸不繁复。而且真的可以让人放松地笑一笑,5
94,-安九风-,科普番，i了i了,科普番，i了i了,5
95,落落秋千七,科普动画赛高,科普动画赛高,5
96,阿诺德马头蛋,绝绝对对的神作，连央视都赞扬,绝绝对对的神作，连央视都赞扬,5
97,彩虹六号赛事菌,我感觉不错，对于一个初一的学生来说顺便还可以补习生物,我感觉不错，对于一个初一的学生来说顺便还可以补习生物,5
98,PVZHerobrine,太好看了，我们生物老师有时为了巩固我们的知识就给我们看这个，哈哈,太好看了，我们生物老师有时为了巩固我们的知识就给我们看这个，哈哈,5
99,我永远喜欢萌妹啊_,好康！真不愧能在央视上播放,好康！真不愧能在央视上播放,5
101,迷宫黑兔,老少咸宜~,老少咸宜,5
103,你的丨HeartBeAt,追了三年的番在今天终于是画下了句号，原来看到12集就弃了，由于第二季和外传出来，所以补一下番，画风很喜欢，这种科普治愈番还是挺好看的,追了三年的番在今天终于是画下了句号，原来看到12集就弃了，由于第二季和外传出来，所以补一下番，画风很喜欢，这种科普治愈番还是挺好看的,5
104,NJG_,想象力真滴丰富,想象力真滴丰富,5
105,My_Daring,最高才五星啊,最高才五星啊,5
107,if_then,从新科普了一遍人体知识，本着绝不拆散一对的期望，以后再也不扣血痂了,从新科普了一遍人体知识，本着绝不拆散一对的期望，以后再也不扣血痂了,5
109,人烟xl,疫情期间看这种动漫的意义更大一点儿呀～,疫情期间看这种动漫的意义更大一点儿呀～,5
112,刘阴山,老少皆宜！可以进世界级的教科教程,老少皆宜！可以进世界级的教科教程,5
113,不是什么小饼干,我永远爱白赤QAQ,我永远爱白赤QAQ,5
115,头戴雪绒花的,好看又有教育意义的番啊,好看又有教育意义的番啊,5
118,乱城贼子,很有科普和教育意义,很有科普和教育意义,5
119,铸铁布丁,有趣不失严谨，最好的科普向动画,有趣不失严谨，最好的科普向动画,5
121,忠诚卫,18年看的时候等级不够不能评分儿。现在等级够了一定要打个满分儿。,18年看的时候等级不够不能评分儿。现在等级够了一定要打个满分儿。,5
123,My-Totoro,真的很好看呀，科普了很多关于细胞和血液的知识，本来以为自己不会喜欢看这种类型的番，但是看了几集之后完全停不下来了，这也太赞了！,真的很好看呀，科普了很多关于细胞和血液的知识，本来以为自己不会喜欢看这种类型的番，但是看了几集之后完全停不下来了，这也太赞了！,5
125,zephyr-zero,血小板很可爱，但是不要在我的身体里谈恋爱啊喂,血小板很可爱，但是不要在我的身体里谈恋爱啊喂,5
127,莓什麽,科普番× 恋爱番√,科普番× 恋爱番√,5
128,星辰爱萝莉,一定要爱惜自己的身体啊，不要让细胞们受苦啊。,一定要爱惜自己的身体啊，不要让细胞们受苦啊。,5
129,灿白飞咻超甜der,太棒了ww边追番还可以学知识,太棒了ww边追番还可以学知识,5
130,二次元门主,为啥分变低了。,为啥分变低了。,5
132,远山拾影,兼具科普性和趣味性，棒棒棒,兼具科普性和趣味性，棒棒棒,5
134,因希-Einzig,我要来给白哥打call！,我要来给白哥打call！,5
135,bilililildd,太可爱了 血小板,太可爱了 血小板,5
136,小鹤品鉴,用最简单通俗的方式，科学地讲解了人体生命，太强了,用最简单通俗的方式，科学地讲解了人体生命，太强了,5
138,彼岸哆啦A梦,非常好看，真实，有寓意,非常好看，真实，有寓意,5
139,㴏䐌䌃2333,针不戳，学到了生物知识，初中党狂喜,针不戳，学到了生物知识，初中党狂喜,5
140,犯法公民张三,我们小50岁的生物老师还看来着doge,我们小50岁的生物老师还看来着doge,5
141,Negative_3Uです,回来补个评分,回来补个评分,5
142,把雷姆抱回家QAQ,very good 的番，今天开始做一个健康作息人！,very good 的番，今天开始做一个健康作息人！,5
143,阳光下的秤杆,很好看哈哈哈很欢乐,很好看哈哈哈很欢乐,5
144,沉寂淡定,真是不想让这部动画完结呢，知识程度很深，表达出来却感觉就算孩子也能看，我真的爱了。动漫不是只给孩子看的啊！一个成年人看完这部动画也更会爱护自己了吧，更懂得自己的责任了吧。第二季我来了。,真是不想让这部动画完结呢，知识程度很深，表达出来却感觉就算孩子也能看，我真的爱了。动漫不是只给孩子看的啊！一个成年人看完这部动画也更会爱护自己了吧，更懂得自己的责任了吧。第二季我来了。,5
145,星空の幻想郷,我觉得原版配音不是挺好的吗，分数也不至于比中配版低呀!,我觉得原版配音不是挺好的吗，分数也不至于比中配版低呀!,5
147,ykno23,分数为啥这么低,分数为啥这么低,5
148,ナルホド君,赛高！！！！！,赛高！！！！！,5
149,白嫖是不可能的--,五星是给白哥和红细胞的！,五星是给白哥和红细胞的！,5
150,LUCIEN6,很有新意，制作也不错,很有新意，制作也不错,5
153,卖瓜人刘某,工作细胞永远滴神_(:* ｣∠)_,工作细胞永远滴神_: ｣∠_,5
155,杨掰掰,可可爱爱(⑉°з°)-️,可可爱爱⑉°з°-️,5
156,人生莹佳cp,优秀的科普番ヾ(＾。^*)。,优秀的科普番ヾ＾。。,5
157,panda是猫,血小板很可爱，血小板很可爱！血小板很可爱！！夸赞的话说三遍！！内容节奏好，故事不算新颖，貌似记得虹猫蓝兔也出过类似的，能给医学小白做到最基本的科普，想到身体里又那么多尽心工作的可爱细胞，更加爱护身体。,血小板很可爱，血小板很可爱！血小板很可爱！！夸赞的话说三遍！！内容节奏好，故事不算新颖，貌似记得虹猫蓝兔也出过类似的，能给医学小白做到最基本的科普，想到身体里又那么多尽心工作的可爱细胞，更加爱护身体。,5
160,A工厂长,央视要播放啦！,央视要播放啦！,5
164,虎子的好哥哥,我来拉高总分,我来拉高总分,5
166,erenSzeretlek,教育意义很好,教育意义很好,5
167,wewe心态平和,唯一想说的，为了让我活着，我身体里的细胞真的很努力拼命，以至于让我会更加爱惜自己，绝对不会轻易伤害自己，轻易放弃自己的生命。,唯一想说的，为了让我活着，我身体里的细胞真的很努力拼命，以至于让我会更加爱惜自己，绝对不会轻易伤害自己，轻易放弃自己的生命。,5
168,文v氓,个人感觉是子供向 但不耽误我觉得好看,个人感觉是子供向 但不耽误我觉得好看,5
169,比企八幡-由比结衣,血小板萌死了,血小板萌死了,5
170,求知求之,很好看，很有意思,很好看，很有意思,5
171,春风又绿北京南,生动形象！,生动形象！,5
173,柴和猫,太可爱了，要好好对待自己的身体阿,太可爱了，要好好对待自己的身体阿,5
174,夜半泠雨,血小板真可爱,血小板真可爱,5
177,长歌舞雨,非常有科普意义的动漫,非常有科普意义的动漫,5
179,麓瓴lsy,很喜欢这个动漫，帮我重拾起很多高中生物知识，同时也学到更多新的知识,很喜欢这个动漫，帮我重拾起很多高中生物知识，同时也学到更多新的知识,5
180,美少女madao,很好啊，怎么才9.6,很好啊，怎么才9.6,5
182,某位六级大佬的小号,?，这番这么好看寓教于乐番怎么就9.6啦，不应该啊,?，这番这么好看寓教于乐番怎么就9.6啦，不应该啊,5
183,投币不如改名字,阿拉啦啦爱了,阿拉啦啦爱了,5
184,是谁又在乎谁呢_,好！既能学到知识，还能娱乐。,好！既能学到知识，还能娱乐。,5
185,克兰纳德团团君,不是什么时候掉到9.6了，这么好看的番,不是什么时候掉到9.6了，这么好看的番,5
186,fggdr梵蒂冈,very good,very good,5
188,discret,很有创意的动画片！,很有创意的动画片！,5
189,撒yei,为啥子又降分了，刚看两集感觉不错,为啥子又降分了，刚看两集感觉不错,5
190,锑星组长Quinone_Bob,从第2季来的，之前忘记评了，补一下,从第2季来的，之前忘记评了，补一下,5
191,洞洞怪,看完第二季才发现第一季的好，没对比没伤害啊，赶紧补个五星,看完第二季才发现第一季的好，没对比没伤害啊，赶紧补个五星,5
192,百分百被空手接白刃poi,"满分啊,太好看了","满分啊,太好看了",5
193,橙家SJ比较甜,算是了解了一下自己的身体呢~挺适合非医学生呢我觉得,算是了解了一下自己的身体呢挺适合非医学生呢我觉得,5
194,漠北默喃,人体真的好伟大啊٩(●´৺`●)૭٩(●´৺`●)و,人体真的好伟大啊٩●´৺`●૭٩●´৺`●و,5
195,白井黑子家的御坂美琴,原来有那么多可爱的细胞在守护我的健康,原来有那么多可爱的细胞在守护我的健康,5
197,bili_7984371178,设定很新颖的科普番～,设定很新颖的科普番～,5
201,四月の笙歌,为了我的细胞们能生活的更好，我也要好好保护自己才行呢,为了我的细胞们能生活的更好，我也要好好保护自己才行呢,5
202,西柚柑橘蜜子水,非常非常非常好看！！！强烈推荐,非常非常非常好看！！！强烈推荐,5
203,入睡的琥珀,好可爱！好可爱！好可爱！！！！！！！！！！！,好可爱！好可爱！好可爱！！！！！！！！！！！,5
204,宋老黑250,我也不知道说啥，反正挺好看的,我也不知道说啥，反正挺好看的,5
205,噬晗,她虽经常迷路，但从未迷失方向。,她虽经常迷路，但从未迷失方向。,5
206,桃初初,血小板太太太太太可爱啦 白哥和红细胞超棒！,血小板太太太太太可爱啦 白哥和红细胞超棒！,5
207,夏浪風乘,学到了许多生物知识,学到了许多生物知识,5
209,水上闻笛音,二刷，评个分,二刷，评个分,5
211,モクレンレン,妈呀好可爱,妈呀好可爱,5
212,小蘑菇吖吖吖吖,真不知道该怎么说，连细胞都在我身体里面谈恋爱了而我还是一只单身狗=_=,真不知道该怎么说，连细胞都在我身体里面谈恋爱了而我还是一只单身狗=_=,5
213,米未11,很好的一部作品,很好的一部作品,5
214,ROG咯咯咯,66666,66666,5
216,毕生的信仰,必须五星！,必须五星！,5
217,恰饭掐柠檬,看这个动画片能长知识，不错,看这个动画片能长知识，不错,5
218,他的名字叫鹿晗,超好看啊，哈哈哈哈哈，刷了好几遍了,超好看啊，哈哈哈哈哈，刷了好几遍了,5
219,z画师,脑洞可以的,脑洞可以的,5
220,爆破小纬,太好看了血小板好评,太好看了血小板好评,5
221,工O先生,爷学到了，棒,爷学到了，棒,5
222,胡䄻,这些细胞的宿主是个怎样的人呢？是小女孩？小男孩？大叔？大妈？还是老人？是好人？坏人？是胖子？瘦子？抽烟？酗酒？生活作息如何？是否幸福？,这些细胞的宿主是个怎样的人呢？是小女孩？小男孩？大叔？大妈？还是老人？是好人？坏人？是胖子？瘦子？抽烟？酗酒？生活作息如何？是否幸福？,5
224,剑丶非墨,宝藏番值得入眼,宝藏番值得入眼,5
225,一朵瓦楞子,可可爱爱科普漫 梦回初高中生物课,可可爱爱科普漫 梦回初高中生物课,5
226,不上前十不刷b站,评分怎么跌了点,评分怎么跌了点,5
228,愉悦的骨头汤,不要在爷身体里谈恋爱啊！,不要在爷身体里谈恋爱啊！,5
229,州舟sameya,啊啊啊啊啊,啊啊啊啊啊,5
231,路过过过过过,五星的理由：用这种手法去表现，没有去淡化死亡这个点，很成功。再者，血小板真可爱。,五星的理由：用这种手法去表现，没有去淡化死亡这个点，很成功。再者，血小板真可爱。,5
234,三氯蔗糖Q,这个身体主人也是够可怜的,这个身体主人也是够可怜的,5
235,Tear灬萌萌哒,科普到位，学习了很多知识，和真实,科普到位，学习了很多知识，和真实,5
236,AkasakiHrt,好看！以上！,好看！以上！,5
237,鹤漫御川,好看(｡･ω･｡)ﾉ,好看｡･ω･｡ﾉ,5
238,白道君-,哈哈 感觉自己上了一堂生动形象的生物课,哈哈 感觉自己上了一堂生动形象的生物课,5
239,刀刕刕,刚出的时候一直追番，因为学习原因好长一段时间没看了，这几天又重新拾起来，真的学到了好多知识,刚出的时候一直追番，因为学习原因好长一段时间没看了，这几天又重新拾起来，真的学到了好多知识,5
240,我早饭就是A340,把枯燥的知识转化如此有趣，真不错，麻麻我再也不担心学生物啦（不是），细胞都画的很有特色，巨噬细胞yyds,把枯燥的知识转化如此有趣，真不错，麻麻我再也不担心学生物啦不是，细胞都画的很有特色，巨噬细胞yyds,5
241,卷卷心wenver,学到了很多，也磕到了好多糖，好甜好甜。不过希望人没事！,学到了很多，也磕到了好多糖，好甜好甜。不过希望人没事！,5
242,沁沫漓滢,隔壁中配的评分居然比这个还高……我就笑一下,隔壁中配的评分居然比这个还高……我就笑一下,5
244,敲棋落灯花,五星好评不用犹豫！！真的超好看！已经带着弟弟看中配了|•ω•`),五星好评不用犹豫！！真的超好看！已经带着弟弟看中配了|•ω•`,5
245,好感动哥哥,( っ'-')╮ =͟͟͞͞,っ'-'╮ =͟͟͞͞,5
246,桃子是本命yu,看完有点舍不得,看完有点舍不得,5
247,阿绒喵QWQ,呜呜呜甜化了萌化了,呜呜呜甜化了萌化了,5
248,静济东轩,很有创意的动漫，让我重新认识人体，还科普了好多生物学知识,很有创意的动漫，让我重新认识人体，还科普了好多生物学知识,5
249,茶沫子子子,我学生物就靠这个了,我学生物就靠这个了,5
251,寻找好兄弟,剧情简单而又不失热血,剧情简单而又不失热血,5
252,东杰在上班,真不错，我先看了，以后给孩子讲讲。,真不错，我先看了，以后给孩子讲讲。,5
253,应该不会紧张吧,偶然看到第一集的血小板才追的番，绝世好番,偶然看到第一集的血小板才追的番，绝世好番,5
254,名字无所谓了_大概,生物老师过来的,生物老师过来的,5
255,枪姬狂三,血小板好卡哇伊,血小板好卡哇伊,5
257,当一只与世无争的汪,可爱至极！,可爱至极！,5
258,年糕0v0,血小板很可爱！,血小板很可爱！,5
259,亦真亦假W,题材好棒，刚开始几分钟就被吸引了,题材好棒，刚开始几分钟就被吸引了,5
260,知柏地黄丸,寓教于乐，在动漫中学习枯燥的医学知识，真是很好啊，记忆深刻！好剧！,寓教于乐，在动漫中学习枯燥的医学知识，真是很好啊，记忆深刻！好剧！,5
261,bili_29047727172,多好的一部番啊~,多好的一部番啊,5
262,一兀月关丶又女青,为了他们的平安日常，我要健康成长！,为了他们的平安日常，我要健康成长！,5
264,水兵水星,你们的细胞都在为了你能健康平安而努力着，这么一想老感动了,你们的细胞都在为了你能健康平安而努力着，这么一想老感动了,5
265,仍然不会纵连的普通人,工作细胞yyds,工作细胞yyds,5
266,請叫我帅胖,这个主人身体太差！,这个主人身体太差！,5
270,炖猫术士,很好的科普和消费,很好的科普和消费,5
272,许桃子,既能看动漫，又能学知识，真的是太棒了,既能看动漫，又能学知识，真的是太棒了,5
274,临河听风,血小板太可爱,血小板太可爱,5
275,泡过拉萨路池的迪克,寓教于乐。边学习边快乐蛮好的,寓教于乐。边学习边快乐蛮好的,5
276,紫铃樱草,简直五星好评，如果对于小朋友讲解也很浅显易懂~更不用说成年人了，成年人看了更加了解身体每个细胞组织器官的发挥作用。,简直五星好评，如果对于小朋友讲解也很浅显易懂更不用说成年人了，成年人看了更加了解身体每个细胞组织器官的发挥作用。,5
278,xxyzsy,观感还不错,观感还不错,5
281,小郭的快乐时光,Yeah！！！！,Yeah！！！！,5
282,Erikka905,快给孩子点经费吧,快给孩子点经费吧,5
283,hanamizi,内容轻松愉快，也能科普,内容轻松愉快，也能科普,5
284,笙鹿X,巨噬细胞也也也太可爱了吧ヾ(╹◡╹)ﾉ~,巨噬细胞也也也太可爱了吧ヾ╹◡╹ﾉ,5
286,SHE海豚,开心的科普番！希望人人都能爱惜身体，让工作细胞有更快乐的工作环境。,开心的科普番！希望人人都能爱惜身体，让工作细胞有更快乐的工作环境。,5
289,雷姆还要睡一会儿,⸜₍๑•⌔•๑ ₎⸝,⸜₍๑•⌔•๑ ₎⸝,5
290,huhu583,O(∩_∩)O哈哈~,O∩_∩O哈哈,5
291,mmekio,超可爱的细胞们，我也学到了好多，鼓掌掌,超可爱的细胞们，我也学到了好多，鼓掌掌,5
292,你也会害羞呀,超级好看的番，但是麻烦不要在我身边里谈恋爱呀啊喂,超级好看的番，但是麻烦不要在我身边里谈恋爱呀啊喂,5
293,小老鼠嘎咕-,怎么只剩9.6了喂！,怎么只剩9.6了喂！,5
294,桐人陛下,一想到我身体内的血小板就欲罢不能啊，嘿嘿嘿(º﹃º ),一想到我身体内的血小板就欲罢不能啊，嘿嘿嘿º﹃º,5
296,MQ萌心吖,非常有趣的科普番，白哥超帅～,非常有趣的科普番，白哥超帅～,5
298,cheems好累,不错的科普类动漫，老少皆宜，更何况现在还出了中配版。,不错的科普类动漫，老少皆宜，更何况现在还出了中配版。,5
299,最佳李老头,我体内的细胞简直欲罢不能了,我体内的细胞简直欲罢不能了,5
300,黑洞蛋-,niceeeeeeee,niceeeeeeee,5
301,流_羽,血小板卡哇伊~,血小板卡哇伊,5
302,YKY-2333,很棒的科普番,很棒的科普番,5
303,杀生丸在我床上,就算我母胎solo 知道身体里的细胞们都相亲相爱撒狗粮也没那么难受了哈哈哈哈,就算我母胎solo 知道身体里的细胞们都相亲相爱撒狗粮也没那么难受了哈哈哈哈,5
304,とおか爱你,没理由打低分,没理由打低分,5
306,JotherMemorand,比喻有点儿那个啥……，但是结合人体的故事确实十分有趣，可誉寓教于乐了。,比喻有点儿那个啥……，但是结合人体的故事确实十分有趣，可誉寓教于乐了。,5
307,爪巴鱼有八爪,kt白!（doge）,kt白!doge,5
309,Mo_Tsing,形象地解释了一些生物知识，挺好的,形象地解释了一些生物知识，挺好的,5
311,不念灬不生,血小板好可爱,血小板好可爱,5
313,拟刀似松月,好喜欢！！,好喜欢！！,5
314,氢镱,不错的科普番,不错的科普番,5
315,Sierwier,这个题材真的太有创意啦，有意思的剧情下还能学习细胞科普，一举两得,这个题材真的太有创意啦，有意思的剧情下还能学习细胞科普，一举两得,5
316,墨迹-涵,非常棒！血小板敲阔耐的说！！,非常棒！血小板敲阔耐的说！！,5
317,Devil幻夜,( ＾ω＾),＾ω＾,5
318,東京八十萬水軍教頭,这是近几年少有的即便往我嘴里怼糖我都不觉得腻甚至还想再要，求多怼点的番了。世界观很巧妙，既玄幻遥远又与我们息息相关。最后作为邪教CP狂热者强烈建议小红的前辈姐姐跟老白的哥们儿在一起！你俩也很搭很萌！,这是近几年少有的即便往我嘴里怼糖我都不觉得腻甚至还想再要，求多怼点的番了。世界观很巧妙，既玄幻遥远又与我们息息相关。最后作为邪教CP狂热者强烈建议小红的前辈姐姐跟老白的哥们儿在一起！你俩也很搭很萌！,5
319,eros12136,真的是非常棒的科普向作品，不枉我在朋友圈专门推荐过呢,真的是非常棒的科普向作品，不枉我在朋友圈专门推荐过呢,5
321,闷油瓶二十七代目,太好看了！看二复一！回来看看癌细胞！,太好看了！看二复一！回来看看癌细胞！,5
323,橘子3427,( •̀ ω •́ )y,•̀ ω •́ y,5
324,HubsonCen,太棒了，不用愁生物学不好了【doge】,太棒了，不用愁生物学不好了doge,5
325,律政先锋敬贵妃,完结撒花，用通俗易懂的手法传授专业的知识，太棒了,完结撒花，用通俗易懂的手法传授专业的知识，太棒了,5
326,喵喵家の浮沉,恭喜上CCTV啦,恭喜上CCTV啦,5
327,莞小华,太棒了，知识含量高也很有趣，百看不厌,太棒了，知识含量高也很有趣，百看不厌,5
328,断桥落云,37兆亿细胞，就你俩天天相遇,37兆亿细胞，就你俩天天相遇,5
329,Await22,感觉隔壁比较合我口味,感觉隔壁比较合我口味,5
330,い玖嘉,。。。。。。,。。。。。。,5
331,囿于镜,推荐给学生哈哈哈哈哈,推荐给学生哈哈哈哈哈,5
332,派派的后宫,恭喜央视6中配播出,恭喜央视6中配播出,5
333,取名真的好难呀,好看(｡･ω･｡)ﾉ，爱了,好看｡･ω･｡ﾉ，爱了,5
334,诺顿真香,既富有科普意义又很治愈,既富有科普意义又很治愈,5
335,懒想名就这吧,满星满星，好评好评,满星满星，好评好评,5
336,束缚的十字架,休闲搞笑番，我觉得挺好,休闲搞笑番，我觉得挺好,5
337,燃冰君,一部优秀的番剧，就算是作为科普视频也依然合适,一部优秀的番剧，就算是作为科普视频也依然合适,5
340,伊柳子,出现了一直学习的新思路（｡ò ∀ ó｡）,出现了一直学习的新思路｡ò ∀ ó｡,5
342,星想事橙,很有趣的科普番,很有趣的科普番,5
343,微惹额额,非常不错，正能量。寓教于乐。,非常不错，正能量。寓教于乐。,5
344,汝初雪,好看[妙啊],好看妙啊,5
345,看到我让我爬回去学习,CCTV6正在播～恭喜～,CCTV6正在播～恭喜～,5
346,自律改变自我,结合科普与搞笑，既能增进自己的知识，也能开心一刻！优秀,结合科普与搞笑，既能增进自己的知识，也能开心一刻！优秀,5
348,洱闲-,分数怎么掉了这么多？,分数怎么掉了这么多？,5
350,岛本大川,工作细胞是我追的第一个动漫，真心觉得百看不厌，可爱的红血球，高冷的白血球，萌你一脸血的血小板等，真的都特别可爱，最主要的是，看动漫还能学知识，这个是最棒的！工作细胞所有的系列我都喜欢,工作细胞是我追的第一个动漫，真心觉得百看不厌，可爱的红血球，高冷的白血球，萌你一脸血的血小板等，真的都特别可爱，最主要的是，看动漫还能学知识，这个是最棒的！工作细胞所有的系列我都喜欢,5
352,妮可醬のNicoNicoNi,cctv6播放，特来祝贺,cctv6播放，特来祝贺,5
353,御坂29999号,我的老婆千千万，结果全在谈恋爱,我的老婆千千万，结果全在谈恋爱,5
354,中原中也的项圈,让我又重温了当年学习生物的快乐岁月 我很好 我都看懂了,让我又重温了当年学习生物的快乐岁月 我很好 我都看懂了,5
356,浅梦若雨,已经在央视播出五集我爸说这动漫挺有创意,已经在央视播出五集我爸说这动漫挺有创意,5
357,李墨2333,我是学生物化学的，投个五星支持！,我是学生物化学的，投个五星支持！,5
